Fornecedor;Numero_Contrato;Data_Vigencia;Objeto
EMPRESA ALPHA TECNOLOGIA LTDA;CT-001/2025;31/12/2026;Fornecimento de licenças de software e suporte técnico especializado
CONSTRUTORA BETA S.A.;CT-002/2025;15/03/2027;Obras de reforma e manutenção predial nas unidades da Secretaria
FUNDACAO GAMMA DE ASSISTENCIA SOCIAL;CT-003/2025;30/09/2026;Prestação de serviços de acolhimento e assistência a pessoas em situação de vulnerabilidade
DELTA SERVICOS DE LIMPEZA EIRELI;CT-004/2025;31/08/2026;Contratação de serviços de limpeza e conservação predial
EPSILON GRAFICA E EDITORA LTDA;CT-005/2025;28/02/2027;Impressão e fornecimento de materiais gráficos e educativos
ONG ZETA APOIO COMUNITARIO;CT-006/2025;30/10/2026;Execução de programa de capacitação profissional para jovens em vulnerabilidade
ETA CONSULTORIA E TREINAMENTO LTDA;CT-007/2025;30/11/2026;Serviços de consultoria em gestão pública e treinamento de servidores
THETA ALIMENTOS E CATERING LTDA;CT-008/2025;14/09/2026;Fornecimento de refeições e serviços de alimentação institucional
IOTA TRANSPORTES E LOGISTICA S.A.;CT-009/2025;31/01/2027;Locação de veículos com motorista para transporte institucional
KAPPA MANUTENCAO PREDIAL LTDA;CT-010/2025;28/09/2026;Manutenção preventiva e corretiva de instalações elétricas e hidráulicas
